Title,URL,Sub
AI For Business Specialization,https://www.coursera.org/specializations/ai-for-business-wharton,Leadership and Management
Digital Product Management Specialization,https://www.coursera.org/specializations/uva-darden-digital-product-management,Design and Product
Leading the Modern Day Business Specialization,https://www.coursera.org/specializations/leading-modern-day-business,Leadership and Management
Graphic Design Specialization,https://www.coursera.org/specializations/graphic-design,Music and Art
Security Analyst Fundamentals Specialization,https://www.coursera.org/specializations/security-analyst-fundamentals,Security
Improve Your English Communication Skills Specialization,https://www.coursera.org/specializations/improve-english,Learning English
Entrepreneurship Specialization,https://www.coursera.org/specializations/wharton-entrepreneurship,Entrepreneurship
Foundations of Positive Psychology  Specialization,https://www.coursera.org/specializations/positivepsychology,Business Essentials
Data Science Specialization,https://www.coursera.org/specializations/jhu-data-science,Data Analysis
Supply Chain Management Specialization,https://www.coursera.org/specializations/supply-chain-management,Business Essentials
Fintech: Foundations & Applications of Financial Technology Specialization,https://www.coursera.org/specializations/wharton-fintech,Business Essentials
Microsoft 365 Fundamentals Specialization,https://www.coursera.org/specializations/microsoft-365-fundamentals,Business Essentials
Search Engine Optimization (SEO) Specialization,https://www.coursera.org/specializations/seo,Marketing
AI Product Management Specialization,https://www.coursera.org/specializations/ai-product-management-duke,Machine Learning
Introduction to Programming with Python and Java Specialization,https://www.coursera.org/specializations/programming-python-java,Software Development
Construction Management Specialization,https://www.coursera.org/specializations/construction-management,Leadership and Management
IBM Introduction to Machine Learning Specialization,https://www.coursera.org/specializations/ibm-intro-machine-learning,Data Analysis
Data Analysis and Presentation Skills: the PwC Approach Specialization,https://www.coursera.org/specializations/pwc-analytics,Business Essentials
AWS Fundamentals Specialization,https://www.coursera.org/specializations/aws-fundamentals,Cloud Computing
Data Science: Foundations using R Specialization,https://www.coursera.org/specializations/data-science-foundations-r,Data Analysis
Python 3 Programming Specialization,https://www.coursera.org/specializations/python-3-programming,Software Development
Reinforcement Learning Specialization,https://www.coursera.org/specializations/reinforcement-learning,Machine Learning
Accelerated Computer Science Fundamentals Specialization,https://www.coursera.org/specializations/cs-fundamentals,Algorithms
Digital Marketing Specialization,https://www.coursera.org/specializations/digital-marketing,Marketing
DevOps on AWS Specialization,https://www.coursera.org/specializations/aws-devops,Software Development
Generative Adversarial Networks (GANs) Specialization,https://www.coursera.org/specializations/generative-adversarial-networks-gans,Machine Learning
Data Visualization with Tableau Specialization,https://www.coursera.org/specializations/data-visualization,Data Analysis
Certified in Cybersecurity Specialization,https://www.coursera.org/specializations/certified-in-cybersecurity,Security
Business Strategy Specialization,https://www.coursera.org/specializations/business-strategy,Business Strategy
Applied Data Science with Python Specialization,https://www.coursera.org/specializations/data-science-python,Data Analysis
Human Resource Management: HR for People Managers Specialization,https://www.coursera.org/specializations/human-resource-management,Business Strategy
Achieving Personal and Professional Success Specialization,https://www.coursera.org/specializations/wharton-success,Personal Development
Regulatory Compliance Specialization,https://www.coursera.org/specializations/regulatory-compliance,Business Essentials
"TESOL Certificate, Part 1: Teach English Now! Specialization",https://www.coursera.org/specializations/tesol,Learning English
Financial Engineering and Risk Management Specialization,https://www.coursera.org/specializations/financialengineering,Finance
UI / UX Design Specialization,https://www.coursera.org/specializations/ui-ux-design,Music and Art
"Product Ideation, Design, and Management Specialization",https://www.coursera.org/specializations/product-ideation-design-and-management,Marketing
Financial Analysis - Skills for Success Specialization,https://www.coursera.org/specializations/financial-analysis-skills-for-success,Finance
Creative Writing Specialization,https://www.coursera.org/specializations/creative-writing,Music and Art
Data Structures and Algorithms Specialization,https://www.coursera.org/specializations/data-structures-algorithms,Algorithms
Software Product Management Specialization,https://www.coursera.org/specializations/product-management,Design and Product
Foundations of Management Specialization,https://www.coursera.org/specializations/foundations-management,Leadership and Management
Genomic Data Science Specialization,https://www.coursera.org/specializations/genomic-data-science,Data Analysis
Methods and Statistics in Social Sciences Specialization,https://www.coursera.org/specializations/social-science,Governance and Society
"NoSQL, Big Data, and Spark Foundations Specialization",https://www.coursera.org/specializations/nosql-big-data-and-spark-foundations,Data Management
Think like a CFO Specialization,https://www.coursera.org/specializations/thinklikeacfo,Finance
TensorFlow: Advanced Techniques Specialization,https://www.coursera.org/specializations/tensorflow-advanced-techniques,Machine Learning
"Data Engineering, Big Data, and Machine Learning on GCP Specialization",https://www.coursera.org/specializations/gcp-data-machine-learning,Machine Learning
Mathematics for Machine Learning Specialization,https://www.coursera.org/specializations/mathematics-machine-learning,Machine Learning
Modern and Contemporary Art and Design Specialization,https://www.coursera.org/specializations/modern-contemporary-art-design,Music and Art
Agile Development Specialization,https://www.coursera.org/specializations/agile-development,Design and Product
Career Success Specialization,https://www.coursera.org/specializations/career-success,Business Essentials
U.S. Federal Taxation Specialization,https://www.coursera.org/specializations/united-states-federal-taxation,Business Essentials
The Business of Music Production Specialization,https://www.coursera.org/specializations/business-music-production,Music and Art
The Business of Health Care Specialization,https://www.coursera.org/specializations/healthcare-administration-management,Healthcare Management
Practical Data Science on the AWS Cloud Specialization,https://www.coursera.org/specializations/practical-data-science,Machine Learning
Risk Management Specialization,https://www.coursera.org/specializations/risk-management,Finance
Music Production Specialization,https://www.coursera.org/specializations/music-production,Music and Art
Google Cloud Database Engineer Specialization,https://www.coursera.org/specializations/google-cloud-database-engineer,Cloud Computing
Architecting with Google Compute Engine Specialization,https://www.coursera.org/specializations/gcp-architecture,Cloud Computing
Global Procurement and Sourcing Specialization,https://www.coursera.org/specializations/procurement-sourcing,Leadership and Management
Entrepreneurship: Growing Your Business Specialization,https://www.coursera.org/specializations/entrepreneurship-growing-your-business,Business Strategy
Six Sigma Yellow Belt Specialization,https://www.coursera.org/specializations/six-sigma-fundamentals,Leadership and Management
The DIY Musician Specialization,https://www.coursera.org/specializations/diy-musician,Music and Art
Algorithms Specialization,https://www.coursera.org/specializations/algorithms,Algorithms
"Influencing: Storytelling, Change Management and Governance Specialization",https://www.coursera.org/specializations/influencing-storytelling-change-management,Leadership and Management
Applied Data Science with R Specialization,https://www.coursera.org/specializations/applied-data-science-r,Data Analysis
Geographic Information Systems  (GIS) Specialization,https://www.coursera.org/specializations/gis,Data Analysis
Decentralized Finance (DeFi): The Future of Finance Specialization,https://www.coursera.org/specializations/decentralized-finance-duke,Finance
Project Management & Other Tools for Career Development Specialization,https://www.coursera.org/specializations/project-management-success,Business Essentials
Project Management Principles and Practices Specialization,https://www.coursera.org/specializations/project-management,Business Essentials
Java Programming and Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/java-programming,Software Development
MATLAB Programming for Engineers and Scientists Specialization,https://www.coursera.org/specializations/matlab-programming-engineers-scientists,Software Development
Design Thinking Specialization,https://www.coursera.org/specializations/uva-darden-design-thinking,Leadership and Management
Architecting with Google Kubernetes Engine Specialization,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,Cloud Computing
Security in Google Cloud Specialization,https://www.coursera.org/specializations/security-google-cloud-platform,Security
Leading People and Teams Specialization,https://www.coursera.org/specializations/leading-teams,Leadership and Management
Coding for Everyone: C and C++ Specialization,https://www.coursera.org/specializations/coding-for-everyone,Software Development
Developing Applications with Google Cloud Specialization,https://www.coursera.org/specializations/developing-apps-gcp,Software Development
Real-World Product Management Specialization,https://www.coursera.org/specializations/real-world-product-management,Design and Product
Pricing Strategy Optimization Specialization,https://www.coursera.org/specializations/uva-darden-bcg-pricing-strategy,Marketing
Networking in Google Cloud Specialization,https://www.coursera.org/specializations/networking-google-cloud-platform,Networking
Academic English: Writing Specialization,https://www.coursera.org/specializations/academic-english,Education
Introduction to Cyber Security Specialization,https://www.coursera.org/specializations/intro-cyber-security,Computer Security and Networks
Business Data Management and Communication Specialization,https://www.coursera.org/specializations/business-data-management-communication,Data Analysis
Intellectual Property Law Specialization,https://www.coursera.org/specializations/introduction-intellectual-property,Business Strategy
The Singer Songwriter Specialization,https://www.coursera.org/specializations/singer-songwriter,Music and Art
AI for Medicine Specialization,https://www.coursera.org/specializations/ai-for-medicine,Machine Learning
Mergers and Acquisitions  Specialization,https://www.coursera.org/specializations/mergersandacquisitions,Finance
Dynamic Public Speaking Specialization,https://www.coursera.org/specializations/public-speaking,Personal Development
Supply Chain Analytics Specialization,https://www.coursera.org/specializations/supply-chain-analytics,Business Essentials
Six Sigma Black Belt Specialization,https://www.coursera.org/specializations/six-sigma-black-belt,Leadership and Management
Strategic Leadership and Management Specialization,https://www.coursera.org/specializations/strategic-leadership,Leadership and Management
Music Education for Teachers Specialization,https://www.coursera.org/specializations/music-education,Education
Project Management Specialization,https://www.coursera.org/specializations/meem-project-management,Leadership and Management
User Experience Research and Design Specialization,https://www.coursera.org/specializations/michiganux,Design and Product
Good with Words: Writing and Editing Specialization,https://www.coursera.org/specializations/good-with-words,Personal Development
Drug Development Product Management Specialization,https://www.coursera.org/specializations/drug-development-product-management,Healthcare Management
Excel Skills for Data Analytics and Visualization Specialization,https://www.coursera.org/specializations/excel-data-analytics-visualization,Business Essentials
"Food Sustainability, Mindful Eating, and Healthy Cooking Specialization",https://www.coursera.org/specializations/food-sustainability-mindful-eating-healthy-cooking,Nutrition
Web Design for Everybody: Basics of Web Development & Coding Specialization,https://www.coursera.org/specializations/web-design,Mobile and Web Development
Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization,https://www.coursera.org/specializations/microsoft-azure-fundamentals-az-900,Software Development
Business Value and Project Management Specialization,https://www.coursera.org/specializations/business-value-project-management,Leadership and Management
Clinical Trials Operations Specialization,https://www.coursera.org/specializations/clinical-trials-operations,Public Health
Investment Management with Python and Machine Learning Specialization,https://www.coursera.org/specializations/investment-management-python-machine-learning,Finance
Data Analysis with R Specialization,https://www.coursera.org/specializations/statistics,Data Analysis
Excel to MySQL: Analytic Techniques for Business Specialization,https://www.coursera.org/specializations/excel-mysql,Business Essentials
Bayesian Statistics Specialization,https://www.coursera.org/specializations/bayesian-statistics,Probability and Statistics
Data Science Foundations: Data Structures and Algorithms Specialization,https://www.coursera.org/specializations/boulder-data-structures-algorithms,Algorithms
Biostatistics in Public Health  Specialization,https://www.coursera.org/specializations/biostatistics-public-health,Public Health
Algorithms for Battery Management Systems Specialization,https://www.coursera.org/specializations/algorithms-for-battery-management-systems,Electrical Engineering
"Effective Communication: Writing, Design, and Presentation Specialization",https://www.coursera.org/specializations/effective-business-communication,Business Essentials
Financial Management Specialization,https://www.coursera.org/specializations/financial-management,Finance
Game Design: Art and Concepts Specialization,https://www.coursera.org/specializations/game-design,Music and Art
Neuroscience and Neuroimaging Specialization,https://www.coursera.org/specializations/computational-neuroscience,Data Analysis
Electronic Music Production Specialization,https://www.coursera.org/specializations/electronic-music-production,Music and Art
Branding: The Creative Journey Specialization,https://www.coursera.org/specializations/branding-the-creative-journey,Business Strategy
Six Sigma Green Belt Specialization,https://www.coursera.org/specializations/six-sigma-green-belt,Business Essentials
Excel/VBA for Creative Problem Solving Specialization,https://www.coursera.org/specializations/excel-vba-creative-problem-solving,Design and Product
Business Statistics and Analysis Specialization,https://www.coursera.org/specializations/business-statistics-analysis,Probability and Statistics
People and Soft Skills for Professional and Personal Success Specialization,https://www.coursera.org/specializations/people-and-soft-skills-for-professional-success,Personal Development
"Songwriting: Writing, Arranging, and Producing Music Specialization",https://www.coursera.org/specializations/songwriting,Music and Art
Culture-Driven Team Building Specialization,https://www.coursera.org/specializations/team-building,Business Essentials
Investment Management Specialization,https://www.coursera.org/specializations/investment-management,Finance
Object Oriented Programming in Java Specialization,https://www.coursera.org/specializations/object-oriented-programming,Software Development
Fundamentals of Accounting  Specialization,https://www.coursera.org/specializations/accounting-fundamentals,Business Essentials
Databases for Data Scientists Specialization,https://www.coursera.org/specializations/databases-for-data-scientists,Data Management
PostgreSQL for Everybody Specialization,https://www.coursera.org/specializations/postgresql-for-everybody,Mobile and Web Development
Medical Terminology Specialization,https://www.coursera.org/specializations/medicalterminology,Basic Science
Advanced Data Science with IBM Specialization,https://www.coursera.org/specializations/advanced-data-science-ibm,Machine Learning
Probabilistic Graphical Models  Specialization,https://www.coursera.org/specializations/probabilistic-graphical-models,Machine Learning
FPGA Design for Embedded Systems Specialization,https://www.coursera.org/specializations/fpga-design,Electrical Engineering
School Health for Children and Adolescents Specialization,https://www.coursera.org/specializations/school-health-for-children-and-adolescents,Patient Care
Statistical Analysis with R for Public Health Specialization,https://www.coursera.org/specializations/statistical-analysis-r-public-health,Public Health
Music Business  Specialization,https://www.coursera.org/specializations/music-business,Leadership and Management
Healthcare IT Support Specialization,https://www.coursera.org/specializations/healthcare-it,Health Informatics
Practical Guide to Trading Specialization,https://www.coursera.org/specializations/financial-instruments-trading-investing,Finance
Introduction to Logic and Critical Thinking Specialization,https://www.coursera.org/specializations/logic-critical-thinking-duke,Philosophy
Blockchain Specialization,https://www.coursera.org/specializations/blockchain,Software Development
Software Design and Architecture Specialization,https://www.coursera.org/specializations/software-design-architecture,Software Development
Climate Change and Sustainable Investing Specialization,https://www.coursera.org/specializations/climatechangeandsustainableinvesting,Finance
Functional Programming in Scala Specialization,https://www.coursera.org/specializations/scala,Software Development
Microsoft Azure Data Fundamentals DP-900 Exam Prep Specialization,https://www.coursera.org/specializations/microsoft-azure-dp-900-data-fundamentals,Data Analysis
Financial Technology (Fintech) Innovations Specialization,https://www.coursera.org/specializations/financialtechnology,Finance
Business Strategies for A Better World Specialization,https://www.coursera.org/specializations/wharton-global-business-strategy,Leadership and Management
Machine Learning on Google Cloud Specialization,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp,Machine Learning
Integrative Health and Medicine Specialization,https://www.coursera.org/specializations/integrative-health-and-medicine,Patient Care
Futures Thinking Specialization,https://www.coursera.org/specializations/futures-thinking,Business Essentials
Finance for Technical Managers Specialization,https://www.coursera.org/specializations/finance-for-technical-managers,Leadership and Management
"TESOL Certificate, Part 2: Teach English Now! Specialization",https://www.coursera.org/specializations/tesol-certificate-2,Learning English
Introduction to Discrete Mathematics for Computer Science Specialization,https://www.coursera.org/specializations/discrete-mathematics,Algorithms
Core Java Specialization,https://www.coursera.org/specializations/core-java,Software Development
Engineering Project Management Specialization,https://www.coursera.org/specializations/engineering-project-management,Leadership and Management
Bioinformatics Specialization,https://www.coursera.org/specializations/bioinformatics,Health Informatics
Cybersecurity Attack and Defense Fundamentals Specialization,https://www.coursera.org/specializations/cybersecurity-attack-and-defense,Computer Security and Networks
Organizational Leadership Specialization,https://www.coursera.org/specializations/organizational-leadership,Leadership and Management
Inspirational Leadership: Leading with Sense Specialization,https://www.coursera.org/specializations/inspirational-leadership,Leadership and Management
Photography Basics and Beyond: From Smartphone to DSLR Specialization,https://www.coursera.org/specializations/photography-basics,Music and Art
Omnichannel Retail Strategy Specialization,https://www.coursera.org/specializations/wharton-retail-strategy,Business Strategy
Renewable Energy Specialization,https://www.coursera.org/specializations/renewable-energy,Environmental Science and Sustainability
Become an EMT Specialization,https://www.coursera.org/specializations/become-an-emt,Patient Care
Market Research Specialization,https://www.coursera.org/specializations/market-research,Marketing
Transforming the Fashion Business Specialization,https://www.coursera.org/specializations/transforming-fashion-business,Business Strategy
"GIS, Mapping, and Spatial Analysis Specialization",https://www.coursera.org/specializations/gis-mapping-spatial-analysis,Data Analysis
Trading Strategies in Emerging Markets Specialization,https://www.coursera.org/specializations/trading-strategy,Finance
Healthcare Law Specialization,https://www.coursera.org/specializations/healthcare-law,Healthcare Management
Web Applications for Everybody Specialization,https://www.coursera.org/specializations/web-applications,Mobile and Web Development
Inspired Leadership Specialization,https://www.coursera.org/specializations/inspired-leadership,Leadership and Management
Marketing Strategy Specialization,https://www.coursera.org/specializations/marketing-strategy,Marketing
Health Informatics Specialization,https://www.coursera.org/specializations/health-informatics,Health Informatics
Robotics Specialization,https://www.coursera.org/specializations/robotics,Electrical Engineering
Management Consulting Specialization,https://www.coursera.org/specializations/managementconsulting,Leadership and Management
Machine Learning Specialization,https://www.coursera.org/specializations/machine-learning,Machine Learning
Professional Skills for the Workplace Specialization,https://www.coursera.org/specializations/professional-skills-for-the-workplace,Business Essentials
Introduction to Computer Science and Programming Specialization,https://www.coursera.org/specializations/introduction-computer-science-programming,Software Development
C# Programming for Unity Game Development Specialization,https://www.coursera.org/specializations/programming-unity-game-development,Software Development
Artificial Intelligence: an Overview Specialization,https://www.coursera.org/specializations/artificial-intelligence-overview,Algorithms
Embedding Sensors and Motors Specialization,https://www.coursera.org/specializations/embedding-sensors-motors,Electrical Engineering
Expressway to Data Science: Essential Math Specialization,https://www.coursera.org/specializations/expressway-to-data-science-essential-math,Math and Logic
Everyday Excel Specialization,https://www.coursera.org/specializations/everyday-excel,Design and Product
C Programming with Linux Specialization,https://www.coursera.org/specializations/c-programming-linux,Software Development
Blockchain Revolution in Financial Services Specialization,https://www.coursera.org/specializations/blockchain-financial-services,Computer Security and Networks
The Pronunciation of American English Specialization,https://www.coursera.org/specializations/american-english-pronunciation,Learning English
Managing Cybersecurity Specialization,https://www.coursera.org/specializations/managing-cybersecurity,Security
Digital Manufacturing & Design Technology  Specialization,https://www.coursera.org/specializations/digital-manufacturing-design-technology,Electrical Engineering
Epidemiology in Public Health Practice Specialization,https://www.coursera.org/specializations/professional-epidemiology,Public Health
Social Media Marketing Specialization,https://www.coursera.org/specializations/social-media-marketing,Marketing
Managerial Economics and Business Analysis  Specialization,https://www.coursera.org/specializations/managerial-economics-business-analysis,Finance
Sustainability Analyst Fundamentals Specialization,https://www.coursera.org/specializations/sustainability-analyst,Environmental Science and Sustainability
Interaction Design Specialization,https://www.coursera.org/specializations/interaction-design,Design and Product
Introductory C Programming Specialization,https://www.coursera.org/specializations/c-programming,Software Development
Learn English: Intermediate Grammar Specialization,https://www.coursera.org/specializations/intermediate-grammar,Learning English
How to Play Guitar Specialization,https://www.coursera.org/specializations/play-guitar,Music and Art
Spring Framework Specialization,https://www.coursera.org/specializations/spring-framework,Software Development
Investment and Portfolio Management Specialization,https://www.coursera.org/specializations/investment-portolio-management,Finance
Coaching Skills for Managers Specialization,https://www.coursera.org/specializations/coaching-skills-manager,Leadership and Management
Data Visualization & Dashboarding with R Specialization,https://www.coursera.org/specializations/jhu-data-visualization-dashboarding-with-r,Data Analysis
Business Analytics Specialization,https://www.coursera.org/specializations/analytics,Business Essentials
An Introduction to Programming the Internet of Things (IOT) Specialization,https://www.coursera.org/specializations/iot,Electrical Engineering
Software Testing and Automation Specialization,https://www.coursera.org/specializations/software-testing-automation,Software Development
Linux and Private Cloud Administration on IBM Power Systems Specialization,https://www.coursera.org/specializations/linux-private-cloud-administration-power-systems,Cloud Computing
Power Electronics Specialization,https://www.coursera.org/specializations/power-electronics,Electrical Engineering
Microsoft Azure AI Fundamentals AI-900 Exam Prep Specialization,https://www.coursera.org/specializations/microsoft-azure-ai-900-ai-fundamentals,Machine Learning
Cybersecurity Specialization,https://www.coursera.org/specializations/cyber-security,Computer Security and Networks
Cancer Biology Specialization,https://www.coursera.org/specializations/cancer-biology,Basic Science
"Strategic Leadership: Impact, Change, and Decision-Making Specialization",https://www.coursera.org/specializations/strategic-leadership-impact-change-decision-making,Leadership and Management
Learn Chinese: HSK Test Preparation Specialization,https://www.coursera.org/specializations/hsk-learn-chinese,Other Languages
Abnormal Psychology Specialization,https://www.coursera.org/specializations/abnormal-psychology,Psychology
Business English Communication Skills Specialization,https://www.coursera.org/specializations/business-english,Learning English
Statistics with Python Specialization,https://www.coursera.org/specializations/statistics-with-python,Probability and Statistics
Conflict Management Specialization,https://www.coursera.org/specializations/conflict-management,Leadership and Management
Big Data Specialization,https://www.coursera.org/specializations/big-data,Data Analysis
Robotic Process Automation (RPA) Specialization,https://www.coursera.org/specializations/roboticprocessautomation,Software Development
Healthcare Organization Operations Specialization,https://www.coursera.org/specializations/healthcare-organization-operations,Healthcare Management
Data Mining  Specialization,https://www.coursera.org/specializations/data-mining,Machine Learning
"Python, Bash and SQL Essentials for Data Engineering Specialization",https://www.coursera.org/specializations/python-bash-sql-data-engineering-duke,Data Management
Supply Chain Finance and Blockchain Technology Specialization,https://www.coursera.org/specializations/supply-chain-finance-and-blockchain-technology,Finance
Oracle SQL Databases Specialization,https://www.coursera.org/specializations/oracle-sql-databases,Data Management
Machine Learning for Trading Specialization,https://www.coursera.org/specializations/machine-learning-trading,Machine Learning
Software Development Lifecycle Specialization,https://www.coursera.org/specializations/software-development-lifecycle,Software Development
Autodesk CAD/CAM/CAE for Mechanical Engineering Specialization,https://www.coursera.org/specializations/autodesk-cad-cam-cae-mechanical-engineering,Mechanical Engineering
Design of Experiments Specialization,https://www.coursera.org/specializations/design-experiments,Probability and Statistics
Creativity and AI Specialization,https://www.coursera.org/specializations/creativity-ai,Design and Product
Strategic Management and Innovation Specialization,https://www.coursera.org/specializations/strategic-management,Business Strategy
"Hotel Management: Distribution, Revenue and Demand Management Specialization",https://www.coursera.org/specializations/hotel-management,Leadership and Management
Introduction to Business Specialization,https://www.coursera.org/specializations/business-introduction,Business Essentials
Entrepreneurial Finance: Strategy and Innovation Specialization,https://www.coursera.org/specializations/entrepreneurial-finance,Entrepreneurship
Learning Linux for LFCA Certification Specialization,https://www.coursera.org/specializations/linux-for-lfca-certification,Software Development
Getting started with Google Workspace Specialization,https://www.coursera.org/specializations/getting-started-with-google-workspace,Cloud Computing
First Principles of Computer Vision Specialization,https://www.coursera.org/specializations/firstprinciplesofcomputervision,Algorithms
Machine Learning and Reinforcement Learning in Finance Specialization,https://www.coursera.org/specializations/machine-learning-reinforcement-finance,Machine Learning
"Negotiation, Mediation and Conflict Resolution Specialization",https://www.coursera.org/specializations/negotiation-mediation-conflict-resolution,Leadership and Management
Fundamentals of Computing Specialization,https://www.coursera.org/specializations/computer-fundamentals,Software Development
Executive Data Science Specialization,https://www.coursera.org/specializations/executive-data-science,Data Analysis
Django for Everybody Specialization,https://www.coursera.org/specializations/django,Mobile and Web Development
Social Media Marketing in Practice Specialization,https://www.coursera.org/specializations/social-media-marketing-practice,Marketing
Agile Leadership Specialization,https://www.coursera.org/specializations/agile-leadership-change-management,Leadership and Management
Palliative Care Always Specialization,https://www.coursera.org/specializations/palliative-care-always,Patient Care
Fundamentals of Flight mechanics Specialization,https://www.coursera.org/specializations/flight-mechanics-fundamentals,Physics and Astronomy
Leading: Human Resource Management and Leadership Specialization,https://www.coursera.org/specializations/hr-management-leadership,Leadership and Management
Data Warehousing for Business Intelligence Specialization,https://www.coursera.org/specializations/data-warehousing,Data Analysis
FinTech: Finance Industry Transformation and Regulation Specialization,https://www.coursera.org/specializations/fintech,Business Strategy
Digital Signal Processing Specialization,https://www.coursera.org/specializations/digital-signal-processing,Electrical Engineering
Data Science: Statistics and Machine Learning Specialization,https://www.coursera.org/specializations/data-science-statistics-machine-learning,Data Analysis
"Introduction to Biology: Ecology, Evolution, & Biodiversity Specialization",https://www.coursera.org/specializations/introduction-to-biology,Environmental Science and Sustainability
Introduction to Financial Accounting: The Accounting Cycle Specialization,https://www.coursera.org/specializations/accounting,Finance
Good with Words: Speaking and Presenting Specialization,https://www.coursera.org/specializations/good-with-words-speaking-and-presenting,Personal Development
Fundamentals of Immunology Specialization,https://www.coursera.org/specializations/immunology,Basic Science
Gender Analytics: Gender Equity through Inclusive Design Specialization,https://www.coursera.org/specializations/gender-analytics,Leadership and Management
Data Science Foundations: Statistical Inference Specialization,https://www.coursera.org/specializations/statistical-inference-for-data-science-applications,Probability and Statistics
Real-World Engineering Management Specialization,https://www.coursera.org/specializations/real-world-engineering-management,Leadership and Management
Hands-on Internet of Things Specialization,https://www.coursera.org/specializations/uiuc-iot,Computer Security and Networks
International Business Essentials Specialization,https://www.coursera.org/specializations/mba,Business Essentials
Qualitative Research Design and Methods for Public Health Specialization,https://www.coursera.org/specializations/qualitative-research-design-and-methods-for-public-health,Public Health
"Organizational Leadership in Diversity, Equity & Inclusion Specialization",https://www.coursera.org/specializations/organizational-leadership-in-diversity-equity-and-inclusion,Leadership and Management
Survey Data Collection and Analytics  Specialization,https://www.coursera.org/specializations/data-collection,Data Analysis
The Fundamentals of Personal Finance Specialization,https://www.coursera.org/specializations/personal-finance-fundamentals,Business Essentials
Financial Reporting Specialization,https://www.coursera.org/specializations/financial-reporting,Business Essentials
Salesforce Fundamentals Specialization,https://www.coursera.org/specializations/salesforce-fundamentals,Business Essentials
Advanced Statistics for Data Science Specialization,https://www.coursera.org/specializations/advanced-statistics-data-science,Math and Logic
How to Start Your Own Business Specialization,https://www.coursera.org/specializations/start-your-own-business,Entrepreneurship
Patient Safety Specialization,https://www.coursera.org/specializations/patient-safety,Patient Care
Uncommon Sense Teaching Specialization,https://www.coursera.org/specializations/uncommon-sense-teaching-certificate,Education
Advanced Business Analytics Specialization,https://www.coursera.org/specializations/data-analytics-business,Business Essentials
Digital Fashion Innovation Specialization,https://www.coursera.org/specializations/digitalfashioninnovation,Business Strategy
Competitive Strategy and Organization Design Specialization,https://www.coursera.org/specializations/competitive-strategy,Business Strategy
